price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
11499,2017,chevrolet malibu,like new,4,gas,41000,automatic,sedan,unknown,0,2018-07-26,43,1
8499,2014,ford fusion se,like new,4,gas,79523,automatic,sedan,red,0,2018-10-25,23,4
12999,2015,chevrolet impala,like new,6,gas,39368,automatic,sedan,custom,0,2018-05-19,42,3
29800,2012,chevrolet corvette,excellent,8,gas,57413,automatic,coupe,orange,0,2018-10-22,101,6
5495,2010,chevrolet impala,excellent,6,gas,127168,automatic,sedan,white,0,2019-02-18,20,9
5000,2009,jeep liberty,good,6,gas,137273,automatic,SUV,white,1,2019-02-19,14,10
11999,2017,toyota camry le,excellent,4,gas,35721,automatic,sedan,unknown,0,2018-09-13,25,1
9499,2015,nissan altima,like new,4,gas,51848,automatic,sedan,grey,0,2018-11-12,7,3
3890,2011,subaru outback,excellent,4,gas,300000,automatic,SUV,white,1,2018-12-25,31,7
9500,2008,toyota highlander,good,6,gas,149799,automatic,SUV,unknown,0,2018-06-04,121,10
14999,2015,dodge charger,good,6,gas,63037,automatic,sedan,unknown,0,2018-05-11,37,3
10499,2013,chrysler 300,good,6,gas,88042,automatic,sedan,unknown,0,2018-05-05,22,5
7500,2005,toyota tacoma,good,6,gas,160000,automatic,pickup,unknown,0,2018-07-22,44,13
7999,2015,chrysler 200,good,4,gas,78285,automatic,sedan,unknown,0,2019-03-08,29,4
8000,2009,ford f-150,good,8,gas,234000,automatic,truck,black,1,2019-03-31,1,10
11499,2017,chevrolet equinox,like new,4,gas,54772,automatic,SUV,grey,1,2019-01-12,36,2
11995,2017,nissan rogue,like new,4,gas,41000,automatic,SUV,silver,1,2018-09-20,21,1
34900,2013,mercedes-benz benze sprinter 2500,excellent,6,diesel,99840,automatic,van,black,0,2019-01-15,16,6
5100,2008,honda cr-v,excellent,4,gas,188000,automatic,SUV,red,1,2018-11-18,10,10
4500,2004,jeep grand cherokee,good,6,gas,168821,automatic,SUV,unknown,1,2019-01-31,60,15
2400,2001,toyota camry,good,4,gas,277564,automatic,coupe,yellow,0,2018-05-27,51,17
11200,2015,dodge charger,excellent,6,gas,90302,automatic,sedan,black,1,2018-07-19,73,3
12500,2008,toyota 4runner,good,6,gas,141098,automatic,SUV,grey,0,2019-03-10,35,11
9500,2014,ford focus,excellent,4,diesel,46000,automatic,sedan,unknown,0,2018-10-09,24,4
3200,2006,honda civic,excellent,4,gas,255390,automatic,sedan,blue,0,2018-10-18,23,12
6200,2006,ford f-150,excellent,6,gas,69698,automatic,truck,custom,0,2018-05-03,50,12
3800,2012,ford focus,good,4,gas,130323,automatic,sedan,black,0,2018-11-29,261,6
3300,2011,kia soul,good,4,gas,188963,manual,SUV,black,0,2019-02-16,71,8
10400,2012,chevrolet colorado,excellent,5,gas,111871,automatic,truck,red,1,2019-01-30,27,7
30300,2017,ford f150 supercrew cab xlt,good,6,gas,30339,automatic,pickup,brown,1,2018-07-15,14,1
19700,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807,other,coupe,unknown,0,2018-05-16,99,1
4200,2006,jeep grand cherokee,excellent,6,gas,150920,automatic,SUV,white,1,2018-07-01,79,12
4877,2012,chevrolet cruze,excellent,4,gas,163261,automatic,sedan,white,0,2019-04-18,21,7
3200,2004,bmw x5,excellent,6,gas,156640,automatic,SUV,black,1,2019-04-09,10,15
5200,2006,toyota highlander,good,6,gas,186000,automatic,SUV,green,0,2018-12-20,2,12
13000,2005,ram 1500,good,8,gas,146000,automatic,truck,grey,1,2019-03-14,26,14
16999,2013,chevrolet silverado 1500,good,8,gas,137230,automatic,truck,white,1,2018-05-29,24,5
10499,2017,chevrolet cruze,good,4,gas,53601,automatic,sedan,black,0,2019-01-13,48,2
30000,1966,ford mustang,excellent,6,gas,51000,manual,convertible,red,0,2019-01-23,17,53
15999,2017,chevrolet cruze,good,4,gas,17498,automatic,sedan,black,0,2018-11-07,54,1
12800,2011,ford f-150,excellent,6,gas,108500,automatic,pickup,white,0,2018-09-23,15,7
14999,2013,chevrolet silverado 3500hd,good,8,gas,99840,automatic,truck,white,1,2018-05-09,22,5
14950,2012,ram 1500,excellent,8,gas,114773,automatic,truck,grey,1,2019-04-09,85,7
6950,2013,nissan altima,excellent,4,gas,158786,automatic,sedan,unknown,0,2018-12-24,41,5
7800,2011,ford f-150,like new,8,gas,97510,automatic,truck,white,1,2019-02-20,39,8
5500,2006,honda accord,good,4,gas,150920,automatic,sedan,silver,0,2018-11-27,15,12
23300,2018,nissan frontier crew cab sv,good,6,gas,27493,other,pickup,unknown,1,2018-10-13,36,0
3650,2011,subaru impreza,excellent,4,gas,74000,automatic,sedan,blue,1,2018-08-07,60,7
1900,1994,jeep grand cherokee laredo,good,6,gas,207,automatic,SUV,grey,1,2018-07-27,9,24
9950,2008,toyota 4runner,excellent,6,gas,140000,automatic,SUV,silver,1,2018-06-08,53,10
6950,2005,chevrolet tahoe,excellent,8,gas,186021,automatic,SUV,unknown,1,2018-10-30,3,13
3000,2010,nissan versa,like new,4,gas,200412,automatic,hatchback,silver,0,2018-09-23,33,8
4200,2012,ford focus,like new,4,gas,144273,automatic,sedan,silver,0,2018-06-11,19,6
23800,2019,nissan frontier crew cab sv,good,6,gas,10899,other,pickup,silver,1,2019-02-28,30,0
16500,2012,ford f-250 sd,good,8,gas,123262,automatic,truck,silver,1,2018-09-25,47,6
26900,2014,chevrolet silverado 1500 crew,good,8,gas,68607,automatic,pickup,unknown,1,2018-09-08,10,4
5900,2000,ford f250 super duty,good,8,diesel,202752,automatic,pickup,red,0,2018-07-08,32,18
9950,2014,dodge charger,good,8,gas,102878,automatic,sedan,white,0,2018-06-02,28,4
11950,2008,chevrolet silverado,good,8,gas,170000,automatic,truck,black,1,2019-03-13,38,11
4995,2013,hyundai elantra,like new,4,gas,151223,automatic,sedan,custom,0,2018-09-15,1,5
4826,2000,gmc yukon,like new,8,gas,226111,automatic,SUV,grey,1,2018-06-30,14,18
9599,2011,chevrolet camaro,good,6,gas,100680,manual,coupe,silver,0,2018-10-26,18,7
8499,2009,bmw x5,good,6,gas,104482,automatic,SUV,blue,1,2019-03-04,52,10
26000,2017,ford mustang gt coupe 2d,good,8,gas,41000,other,coupe,yellow,0,2018-11-26,31,1
18800,2015,chevrolet camaro lt coupe 2d,good,6,gas,33926,other,coupe,grey,0,2019-01-16,152,4
18000,2010,ram 1500,good,8,gas,50500,automatic,truck,white,1,2018-06-16,11,8
2800,2010,chevrolet colorado,good,5,gas,200800,automatic,pickup,unknown,0,2018-07-24,10,8
2950,2003,chevrolet silverado,good,8,gas,230000,automatic,pickup,unknown,0,2018-05-06,24,15
32000,2017,honda pilot,like new,6,gas,32104,automatic,SUV,white,0,2018-07-12,100,1
8995,2012,toyota rav4,excellent,4,gas,124526,automatic,SUV,black,1,2018-12-14,24,6
9995,2017,hyundai sonata,excellent,4,gas,105985,automatic,sedan,white,0,2018-05-02,18,1
24600,2013,ford mustang gt coupe 2d,good,8,gas,22474,other,coupe,white,0,2018-10-28,22,5
6500,2012,ford fusion se,excellent,6,gas,90000,automatic,sedan,grey,0,2018-09-20,94,6
3995,2008,subaru forester,excellent,4,gas,165000,automatic,SUV,white,1,2018-12-24,19,10
39950,2018,chevrolet silverado,excellent,8,gas,18500,automatic,truck,unknown,1,2018-08-05,16,0
26000,2015,chevrolet silverado 1500 crew,good,8,gas,92281,automatic,pickup,white,1,2019-04-02,82,4
18700,2017,nissan frontier crew cab sv,good,6,gas,40002,other,pickup,white,0,2018-06-01,44,1
10800,2015,chevrolet colorado,excellent,5,gas,114922,automatic,truck,red,1,2018-06-23,35,3
5500,2004,ford explorer,good,6,gas,140355,automatic,SUV,white,1,2018-09-10,35,14
22900,2014,ford f150 supercrew cab xlt,good,6,gas,73711,automatic,pickup,white,1,2019-02-27,141,5
26700,2015,ford f150 supercrew cab xlt,good,6,gas,48278,other,pickup,brown,1,2018-09-22,64,3
21500,2019,nissan frontier crew cab sv,good,6,gas,16168,other,pickup,white,0,2019-03-29,70,0
19700,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807,other,coupe,black,0,2019-03-11,33,2
24200,2018,chevrolet camaro lt coupe 2d,good,6,gas,20674,other,coupe,grey,0,2018-07-20,57,0
22800,2013,ford f-350 sd,good,8,diesel,207738,automatic,truck,brown,1,2018-11-08,62,5
28400,2017,ford mustang gt coupe 2d,good,8,gas,6665,other,coupe,blue,0,2018-05-16,46,1
29900,2018,ford mustang gt coupe 2d,good,8,gas,3827,automatic,coupe,yellow,0,2019-03-22,48,1
22500,2019,nissan frontier crew cab sv,good,6,gas,24209,other,pickup,unknown,1,2019-03-03,73,0
24600,2014,chevrolet silverado 1500 crew,good,6,gas,85048,automatic,pickup,silver,1,2018-08-19,96,4
23700,2018,nissan frontier crew cab sv,good,6,gas,12901,other,pickup,black,1,2018-09-21,8,0
21900,2018,nissan frontier crew cab sv,good,6,gas,27576,other,pickup,unknown,1,2018-11-22,58,0
25300,2017,chevrolet camaro lt coupe 2d,good,6,gas,3568,other,coupe,unknown,0,2018-06-16,34,1
4600,2012,nissan versa,good,4,gas,146000,automatic,sedan,unknown,0,2018-06-07,32,6
28900,2017,ford f150 supercrew cab xlt,good,6,gas,41000,automatic,pickup,white,1,2018-09-18,58,1
14800,2016,kia sorento,like new,4,gas,53998,automatic,SUV,brown,0,2019-02-27,93,3
33900,2018,chevrolet silverado 1500 crew,good,8,gas,11315,other,pickup,white,1,2019-03-01,2,1
4800,2006,honda accord,like new,4,gas,195000,automatic,sedan,silver,0,2018-12-12,49,12
4500,2012,chevrolet impala,excellent,6,gas,145000,automatic,sedan,white,0,2018-10-10,38,6
21595,2015,chevrolet silverado 1500,excellent,8,gas,92634,automatic,truck,black,1,2018-11-15,53,3
37000,2018,chevrolet silverado 1500 crew,good,8,gas,30465,other,pickup,white,1,2019-01-13,55,1
22900,2019,nissan frontier crew cab sv,good,6,gas,14151,other,pickup,blue,1,2019-04-15,67,0
25900,2012,chevrolet silverado 1500 crew,good,8,other,110000,other,pickup,unknown,1,2018-08-31,44,6
10999,2010,ford edge,good,6,gas,98193,automatic,SUV,blue,1,2018-08-11,78,8
2900,2000,nissan maxima,good,6,gas,170000,automatic,sedan,green,0,2018-09-23,12,18
2700,2005,chevrolet equinox,good,6,gas,150352,automatic,SUV,silver,0,2019-04-02,49,14
2900,2000,nissan maxima,good,6,gas,175000,automatic,sedan,green,0,2019-04-09,27,19
9500,2009,ford f-250,good,8,gas,189490,automatic,truck,white,1,2018-08-03,6,9
4900,2011,nissan sentra,good,4,gas,116000,automatic,sedan,silver,0,2018-11-30,19,7
24000,2018,nissan frontier crew cab sv,good,6,gas,16295,other,pickup,blue,1,2018-05-26,30,0
18200,2012,nissan frontier crew cab sv,good,6,gas,110000,other,pickup,white,0,2018-09-19,30,6
28000,2016,ford mustang gt coupe 2d,good,8,gas,53998,other,coupe,black,0,2018-11-20,28,2
24700,2015,ford mustang gt coupe 2d,good,8,gas,37270,other,coupe,black,0,2019-04-16,41,4
26900,2014,chevrolet silverado 1500 crew,good,8,gas,68607,automatic,pickup,black,1,2018-07-28,18,4
4500,2013,nissan altima,excellent,4,gas,140000,automatic,sedan,silver,0,2019-03-29,108,6
19500,2014,ford f150,excellent,8,gas,116000,automatic,truck,grey,1,2018-06-26,40,4
2000,1993,ford f-150,good,8,gas,258225,automatic,truck,red,0,2019-03-06,34,26
13995,2010,chevrolet silverado 1500,excellent,8,gas,151442,automatic,truck,silver,1,2018-12-20,72,8
39990,2015,chevrolet corvette,like new,8,gas,17340,manual,coupe,unknown,0,2018-07-14,38,3
11995,2012,chevrolet suburban,excellent,8,gas,158487,automatic,SUV,grey,1,2018-11-10,16,6
8995,2011,chevrolet silverado 1500,excellent,8,gas,119726,automatic,truck,grey,1,2019-03-18,27,8
15995,2013,jeep wrangler,excellent,6,gas,138806,automatic,SUV,black,1,2018-09-08,112,5
7995,2012,chevrolet cruze,excellent,4,gas,81559,automatic,sedan,black,0,2018-12-16,57,6
28250,2017,chevrolet silverado 1500,excellent,8,gas,13808,automatic,truck,white,1,2018-08-17,11,1
6995,2004,ford expedition,excellent,8,gas,92546,automatic,SUV,blue,1,2018-05-23,18,14
13900,2016,dodge grand caravan,excellent,6,gas,62711,automatic,van,black,0,2019-04-11,37,3
28975,2017,chevrolet silverado 1500,excellent,8,gas,8354,automatic,truck,black,1,2019-01-07,13,2
14995,2011,jeep wrangler,excellent,6,gas,118371,automatic,SUV,orange,1,2019-01-25,49,8
25600,2017,ford mustang gt coupe 2d,good,8,gas,42957,other,coupe,unknown,0,2019-01-24,83,2
12990,2011,ford expedition,good,8,gas,124775,automatic,SUV,custom,1,2018-06-11,50,7
6300,2010,ford taurus,excellent,6,gas,155743,automatic,sedan,unknown,0,2018-11-01,30,8
26400,2016,ford mustang gt coupe 2d,good,8,gas,16890,other,coupe,white,0,2018-05-15,10,2
17300,2014,chevrolet camaro lt coupe 2d,good,6,gas,27915,other,coupe,red,0,2019-01-16,25,5
26700,2017,ford mustang gt coupe 2d,good,8,gas,26192,other,coupe,black,0,2019-02-14,17,2
18975,2012,chevrolet silverado 1500,excellent,8,gas,24390,automatic,truck,white,0,2018-11-15,61,6
23300,2018,nissan frontier crew cab sv,good,6,gas,20674,other,pickup,grey,1,2018-07-24,73,0
31800,2018,chevrolet silverado 1500 crew,good,8,gas,22838,automatic,pickup,white,1,2019-01-29,29,1
3995,1999,acura tl,good,6,gas,180000,automatic,sedan,black,0,2018-06-19,52,19
18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,0,2018-12-20,14,6
21100,2017,chevrolet camaro lt coupe 2d,good,6,gas,24510,other,coupe,red,0,2019-04-19,38,2
2500,2009,toyota camry,good,6,gas,150000,automatic,sedan,silver,0,2018-06-13,68,9
22000,2006,ford f350 super duty,good,8,diesel,163000,automatic,truck,unknown,1,2019-02-05,38,13
3995,2001,ford ranger,good,6,gas,102000,automatic,truck,brown,0,2018-05-27,79,17
3650,2012,kia soul,excellent,4,gas,110000,automatic,wagon,white,0,2018-07-11,50,6
7975,2007,gmc sierra,excellent,8,gas,228409,automatic,truck,white,0,2018-10-27,15,11
9950,2008,toyota 4runner,excellent,6,gas,207348,automatic,SUV,unknown,1,2018-10-28,11,10
3595,2005,chevrolet impala,good,6,gas,147667,automatic,sedan,red,0,2018-11-12,30,13
9850,2008,chevrolet silverado 1500,good,8,gas,182225,automatic,truck,blue,1,2018-08-15,36,10
18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,0,2018-07-31,59,6
21100,2017,chevrolet camaro lt coupe 2d,good,6,gas,24510,other,coupe,red,0,2019-03-29,1,2
5995,2006,ford ranger,good,6,gas,148600,automatic,truck,silver,1,2018-11-10,35,12
6900,2011,subaru outback,excellent,6,gas,135445,automatic,SUV,unknown,1,2018-11-02,57,7
8995,2005,ram 1500,good,8,gas,153108,automatic,truck,grey,1,2019-03-10,33,14
31400,2016,chevrolet silverado 1500 crew,good,8,gas,15070,automatic,pickup,black,1,2019-01-17,64,3
24200,2018,nissan frontier crew cab sv,good,6,gas,11034,other,pickup,blue,1,2018-06-29,9,0
10990,2006,chevrolet silverado 1500,good,8,gas,93726,automatic,truck,white,1,2018-05-17,19,12
15950,2015,honda cr-v,excellent,4,gas,78285,other,SUV,black,1,2018-09-22,12,3
7500,1997,ford mustang,good,8,gas,185000,manual,coupe,white,0,2019-01-05,9,22
11950,2003,jeep wrangler,excellent,6,gas,97211,automatic,SUV,custom,1,2018-08-01,15,15
16950,2010,jeep wrangler,excellent,6,gas,85490,other,SUV,red,1,2018-12-26,29,8
6800,2010,honda cr-v,excellent,4,gas,186000,automatic,SUV,grey,1,2018-12-22,25,8
6500,2009,hyundai santa fe,good,6,gas,98000,manual,SUV,unknown,0,2019-03-18,27,10
3000,2008,honda accord,good,6,gas,204000,automatic,coupe,blue,0,2018-05-18,21,10
15000,2009,toyota tacoma,excellent,6,gas,221000,automatic,truck,black,1,2019-02-20,30,10
52000,2008,ford f350 super duty,good,8,diesel,117500,automatic,truck,grey,1,2018-06-27,24,10
10950,2011,ford expedition,excellent,8,gas,130390,automatic,SUV,unknown,1,2018-12-23,33,7
23000,2018,honda accord,like new,4,gas,15000,manual,sedan,unknown,0,2018-08-22,37,0
3950,2009,subaru impreza,excellent,4,gas,137882,automatic,hatchback,silver,1,2018-08-22,19,9
5295,2005,ford f-150,good,8,gas,225000,automatic,pickup,white,1,2018-06-19,15,13
6995,2009,ford ranger,good,4,gas,131565,automatic,pickup,white,0,2019-03-31,130,10
8999,2013,ford escape,excellent,4,gas,122964,automatic,wagon,unknown,1,2018-06-03,31,5
5999,2012,nissan versa,excellent,4,gas,76737,automatic,sedan,silver,0,2018-07-31,3,6
10997,2014,ford escape,excellent,4,gas,90000,automatic,wagon,unknown,1,2018-11-17,10,4
10000,2006,ford f-150,excellent,8,gas,181000,automatic,truck,silver,1,2018-07-17,9,12
17999,2008,gmc sierra 2500hd,excellent,8,diesel,101959,automatic,truck,white,1,2018-05-06,46,10
8499,2015,nissan rogue,excellent,4,gas,123360,automatic,wagon,blue,1,2019-03-28,28,4
7999,2012,nissan rogue,excellent,4,gas,93496,automatic,wagon,black,0,2018-10-15,29,6
15900,2012,ford escape,excellent,4,gas,19764,automatic,SUV,black,1,2018-07-03,32,6
28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-07-15,30,6
2000,2002,honda civic lx,good,4,gas,216875,automatic,coupe,red,0,2018-05-21,47,16
22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-08-11,19,3
19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2018-10-30,42,5
34900,2017,ford f-250 sd,excellent,8,gas,41000,automatic,truck,white,1,2018-11-12,13,1
24495,2016,ford explorer,excellent,6,gas,50123,automatic,SUV,white,1,2018-11-17,49,2
5300,2010,dodge charger,good,8,gas,156000,automatic,sedan,white,0,2018-07-04,43,8
22900,2015,gmc sierra 1500,excellent,8,gas,85190,automatic,truck,custom,1,2018-05-15,24,3
14685,2011,toyota tacoma,excellent,6,gas,145671,automatic,truck,black,1,2019-01-03,8,8
24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2019-03-20,23,4
5995,2006,honda odyssey,excellent,6,gas,150920,automatic,van,red,0,2019-04-10,33,13
4999,2005,toyota camry le,excellent,4,gas,105000,automatic,sedan,silver,0,2019-03-01,60,14
7800,2012,chevrolet traverse,good,6,gas,157000,automatic,SUV,blue,1,2018-11-30,4,6
12500,2009,cadillac escalade,excellent,8,gas,159000,automatic,SUV,unknown,1,2018-10-01,26,9
4975,2007,honda odyssey,excellent,6,gas,205000,automatic,mini-van,brown,0,2018-10-28,35,11
2795,2003,volkswagen jetta,good,4,gas,178950,manual,sedan,unknown,0,2018-05-20,98,15
500,2004,toyota corolla,like new,4,gas,156640,automatic,sedan,blue,0,2018-09-17,24,14
2800,2006,ford escape,excellent,6,gas,150920,automatic,SUV,white,0,2018-05-11,5,12
41800,2018,chevrolet silverado 3500hd,good,8,gas,148459,automatic,truck,unknown,1,2019-03-19,11,1
10800,2015,toyota camry,excellent,4,gas,28150,automatic,sedan,black,1,2018-09-25,24,3
2750,2006,honda civic lx,good,4,gas,200,manual,sedan,black,0,2018-07-06,41,12
7995,2008,jeep grand cherokee,excellent,6,gas,104613,automatic,SUV,silver,1,2018-05-23,23,10
22500,2013,ford f-250 sd,good,8,gas,128415,automatic,truck,green,1,2019-03-03,32,6
9995,2013,chrysler town & country,excellent,6,gas,81999,automatic,van,unknown,0,2019-01-07,71,6
6995,2005,honda accord,like new,6,gas,45429,automatic,sedan,grey,0,2018-11-04,53,13
11795,2015,toyota tacoma,excellent,4,gas,111048,automatic,truck,white,0,2018-09-30,30,3
8795,2014,honda civic,excellent,4,gas,85452,automatic,sedan,grey,0,2018-09-11,164,4
6995,2011,hyundai sonata,excellent,4,gas,117371,automatic,sedan,grey,1,2019-02-26,20,8
6795,2013,volkswagen passat,excellent,5,gas,119453,automatic,sedan,red,0,2018-12-12,19,5
6795,2012,volkswagen jetta,excellent,5,gas,104310,automatic,sedan,white,0,2019-03-11,16,7
7995,2014,chevrolet cruze,excellent,4,gas,120052,automatic,sedan,blue,0,2018-10-27,27,4
25800,2015,toyota tacoma,like new,6,gas,49900,automatic,pickup,white,1,2018-07-24,39,3
8595,2010,toyota prius,excellent,4,gas,99630,automatic,hatchback,white,0,2019-02-05,44,9
8995,2010,toyota prius,excellent,4,gas,74138,automatic,hatchback,white,0,2018-07-09,38,8
7995,2010,honda accord,excellent,4,gas,90880,automatic,sedan,grey,0,2018-09-16,3,8
7100,2004,ford f-150,good,8,gas,121000,automatic,truck,unknown,1,2019-03-10,23,15
6995,2010,jeep liberty,excellent,6,gas,105771,automatic,SUV,brown,1,2019-02-05,19,9
4795,2007,nissan altima,excellent,4,gas,131020,automatic,sedan,grey,0,2018-10-19,31,11
6500,2009,ford f-250,good,8,gas,113000,automatic,pickup,white,1,2018-09-09,19,9
22800,2013,ford f-350 sd,good,8,diesel,99840,automatic,truck,brown,1,2018-09-27,38,5
1500,2001,jeep grand cherokee,good,6,gas,185000,automatic,SUV,black,1,2018-10-15,56,17
9799,2017,nissan altima,excellent,4,gas,51153,automatic,sedan,silver,1,2018-06-23,35,1
11799,2014,chevrolet camaro,excellent,6,gas,50468,automatic,coupe,yellow,0,2018-12-30,39,4
5700,2002,chevrolet silverado 1500,good,8,gas,105000,automatic,pickup,silver,1,2018-06-17,68,16
3700,2009,nissan rogue,good,4,gas,174902,automatic,SUV,black,0,2019-03-14,31,10
13499,2014,ford f150,good,6,gas,90000,automatic,pickup,unknown,1,2019-02-13,20,5
24399,2013,ram 1500,excellent,8,gas,97321,automatic,pickup,red,1,2019-01-08,43,6
11799,2015,chevrolet camaro,excellent,6,gas,26881,automatic,coupe,red,0,2019-02-03,21,4
9299,2016,nissan altima,excellent,4,gas,47833,automatic,sedan,silver,0,2019-01-19,75,3
3750,2007,jeep grand cherokee laredo,fair,6,gas,131800,automatic,SUV,grey,1,2018-06-29,50,11
3800,2012,nissan altima,good,4,gas,186576,automatic,sedan,black,0,2019-01-02,37,7
7995,2011,subaru forester,good,4,gas,112000,automatic,SUV,blue,1,2019-02-12,53,8
23200,2018,chevrolet camaro lt coupe 2d,good,6,gas,7136,other,coupe,black,0,2018-08-18,25,0
5500,1981,chevrolet corvette,fair,8,gas,75000,automatic,coupe,blue,0,2019-01-15,49,38
9100,2014,kia sorento,good,4,gas,100100,automatic,SUV,silver,1,2018-08-30,74,4
8977,2013,kia sorento,excellent,4,gas,85415,automatic,SUV,silver,0,2018-07-25,72,5
18675,2015,ram 1500,good,8,gas,86115,automatic,truck,unknown,1,2018-11-11,7,3
8675,2012,buick enclave,good,6,gas,110000,automatic,SUV,brown,0,2018-05-06,36,6
14975,2007,toyota 4runner,good,6,gas,142000,automatic,SUV,silver,0,2018-05-13,57,11
20675,2018,ford escape,good,4,gas,20674,automatic,SUV,black,1,2018-09-29,30,0
19675,2008,gmc sierra 2500hd,good,8,gas,140000,automatic,truck,grey,1,2018-09-22,35,10
14995,2011,chevrolet silverado 1500,good,8,gas,114587,automatic,truck,grey,1,2018-11-02,11,7
13889,2005,gmc sierra 2500hd,good,8,gas,95914,automatic,truck,custom,1,2018-07-13,37,13
5000,2011,toyota camry le,excellent,4,gas,173000,automatic,sedan,white,0,2018-06-26,19,7
6100,2013,ford fusion,good,4,gas,99840,automatic,sedan,silver,0,2018-07-19,80,5
3250,2001,ford f150,fair,8,gas,296000,automatic,truck,black,1,2018-12-07,24,17
28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-09-26,28,6
15900,2016,ford escape,excellent,4,gas,19764,automatic,SUV,unknown,1,2018-12-09,48,2
34900,2017,ford f-250 sd,excellent,8,gas,41000,automatic,truck,white,1,2018-12-06,56,1
22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-07-07,9,3
22900,2015,gmc sierra 1500,excellent,8,gas,85190,automatic,truck,unknown,1,2018-08-24,11,3
19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2019-03-01,4,6
14685,2011,toyota tacoma,excellent,6,gas,123025,automatic,truck,unknown,1,2018-06-21,32,7
24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2018-06-29,22,3
22399,2011,gmc sierra 2500hd,excellent,8,gas,121047,automatic,pickup,unknown,1,2018-05-17,66,7
9950,2013,toyota prius,excellent,4,hybrid,101200,automatic,hatchback,silver,0,2018-08-24,11,5
17379,2007,jeep wrangler,excellent,6,gas,111921,automatic,SUV,unknown,1,2018-12-26,50,11
5999,2012,nissan altima,excellent,4,gas,99000,automatic,sedan,black,0,2018-12-27,28,6
4900,2007,toyota rav4,like new,6,gas,142000,automatic,SUV,blue,0,2019-03-17,13,12
3995,2013,chrysler 200,good,4,gas,99840,automatic,sedan,black,0,2018-09-26,4,5
10900,2012,toyota tacoma,excellent,4,gas,132000,manual,pickup,red,1,2018-10-10,46,6
